text,label
coba spill jokes cowok lucu dengar,1
fitur diilangin anjimmmmmm,1
spill isi direct message artis favorit cringe dipikirpikir ill go first,1
beliau paham paham,1
cekikik wkkwkwk coba gess tunjukun chat adik,1
tolong kecil gb instagram,1
selamat malam firda ruwet,0
brainrot indonesia brainrot italia,1
ih senang calon suami tuju veksetomi,1
kesal selang menit tidur masul akal call duakali banget,1
kesal cerita direpost ditag lagu asa kesana izinin pakai,1
drop meme tertawa hwhhehhehehe,1
rebu gas roti es krim jual,1
pikir pas coba garis,1
cowok suka teknik,1
turut wajar anak kelas bikin makalah kaget kesal lihat,1
hati hati pasang suami istri hubung mending normal normal takut talak xixi,1
kurir bi laik,1
spill chat lucu toksik egkpp,1
watashi proses diet but my ibuk everyday masak if watashi mangan masakan my ibuk become sad solusi yorobun suwun,1
roblox main roblox suka main map saran seru,1
eh numbuh daon bawang iseng naro toples seru anjir,0
gengs asa perempuan hamil wajah glowing istri cantik semenjak hamil,1
digiin orangtua,1
damn diam,1
layout sec acc instagram bionya highlightnyaa referensi xiexie,1
,1
mati,1
kumpul bayi vintage suka ngemilin cerelac by the way suka,1
karyawan direct message hapus,1
cewek strict parents umur kepala main teman tugas nongkrong jarang,1
main qrt yuk biar anggur,1
pacar bilang cinta,1
umur,1
sambung flo handphonenya biar tracking haid prepare heatpad obat byebye fever kadang demam ajak makan daging reduce the pain sakit haid,1
suka,1
screenshoot chat gemas pacar gemas,1
cowok bilang hubung tahun mantan batas kissng sx percaya butuh validasi tahun ciyuman tahan,1
perempuan uang kakak bokek cod anjir ratus,1
hidup bawa pusing bro bawa buset dewe,1
ajar bahasa bencong,1
teman nikah main plisss takut anggur main ngebaso suami tolonggg,1
fase notifikasi biar bosan tonton film cari sibuk bosan saran,1
pas nikah suami solot uang tengkar belikan iphone pro biar uang tracker app,1
tolong yakin spotify premium worth to buy still do not know the benefits of this iklan terima kasih,1
pamer chat pacar hihi baca lucu lucu,1
gebrak main bumble copypaste mana tulus hati,1
tonton film bioskop selesai film pas salim staf pintu,1
cewek tiktok alami,1
minum vitamin sengaruh minggu minum rambut rontok kurang buangettt begadang bangun subuh hidup alarm yeayy happy,1
batuk banjir ganti posisi banjir kentut banjir women,1
kadang suka sedih suka enak,1
gagal pindah on budget juta senang senang biar sedih investasi dana darurat etc pure have fun haram,1
in this ekonomi langgan app prem,1
beli smartwatch oren official aman harga lumayan,1
main qrt patah hati jatuh cinta yuk lesgaurrr,1
in this ekonomi spill resep es kopi susu andal,1
in this ekonomi beli pikir,1
sial,1
pribadi tenang mudah,1
bjir uang kalah malay kalah malay,1
lucu pacar pacar,1
puji pasang puji perempuan lakilaki puji,1
jujur pasang tua ceraibroken home,1
main qrt yuk biar anggur,1
nama jajan pasar kayak lemper luar kasih telur dalam ayam enakkkk habis nama,1
